,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_024,alpha_026,alpha_027,alpha_028,alpha_029,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191
alpha_141,0.04694,0.00098,-0.02213,0.02138,0.05453,0.03205,0.03189,0.02929,0.00024,-0.00087,-0.05034,-0.00474,0.01317,-0.02731,-0.01683,0.10225,-0.00000,-0.08516,-0.08627,-0.08031,-0.01103,-0.08125,-0.01441,0.09000,-0.04524,-0.04704,-0.04074,-0.07787,0.00005,0.09770,0.07970,0.02868,-0.03315,0.07077,0.01600,0.10981,-0.03470,0.09061,0.19457,-0.03779,-0.23598,-0.09508,0.08516,0.02526,0.08818,0.08260,-0.08260,-0.08260,-0.03735,-0.01390,0.05265,-0.00912,0.02770,-0.04144,-0.02139,-0.00152,-0.03105,0.07065,0.06465,-0.09411,0.09775,0.08955,-0.08825,-0.04342,0.00387,-0.06037,-0.02428,-0.06524,0.02072,0.13094,-0.08591,0.00485,0.02798,-0.00490,-0.11191,-0.08622,-0.04797,0.00421,0.01786,0.08732,0.02562,0.13884,0.05831,0.06421,-0.04748,-0.01567,0.10171,-0.06400,0.07683,0.00793,0.01498,-0.00222,-0.02939,-0.01969,0.04595,0.08117,-0.00223,0.15686,-0.02194,0.04870,0.02940,0.16064,-0.01268,-0.01041,0.01757,-0.06800,-0.05315,0.01726,-0.08065,-0.00529,0.00468,0.02864,-0.00281,-0.03317,0.21501,0.02234,0.01562,-0.01688,0.04302,-0.00923,-0.00558,-0.00277,0.04510,-0.07725,0.00865,0.05166,-0.03452,0.00180,-0.07349,-0.02963,-0.00155,-0.01745,-0.00206,0.11416,-0.01704,1.00000,0.00695,0.00252,-0.04207,0.00037,0.00192,0.06058,-0.00513,-0.00091,0.01625,0.00129,0.02095,-0.02209,0.08679,0.02133,0.00958,0.01010,0.00125,0.00019,-0.06475,0.02563,0.00387,-0.01521,0.02069,0.00865,0.05912,-0.00296,0.11517,0.00433,-0.00333,0.00054,0.02152,-0.01586,-0.08665,0.00309,-0.00900,-0.15939,0.16254,0.02294,-0.00736,0.00187,0.02152,0.02202,-0.02077,-0.00207,0.00238,-0.00795,-0.00031,0.06400
alpha_142,0.15571,0.37955,-0.10928,-0.06211,0.08842,0.14399,0.05698,0.09935,-0.03323,0.00485,-0.15160,0.00950,0.17032,-0.11891,-0.22418,0.09213,-0.00000,-0.30581,-0.31897,-0.28115,-0.02052,-0.24632,-0.02890,0.20199,-0.02486,-0.35833,-0.10170,-0.31860,0.11251,0.06606,0.32389,0.08279,-0.12846,0.32385,0.11810,0.23634,-0.06603,0.17902,0.05967,-0.17158,-0.15347,-0.42183,0.34064,0.09960,0.33717,0.10565,-0.10565,-0.10565,-0.01986,-0.14647,0.37154,-0.00554,0.02890,-0.21650,-0.06539,0.01034,-0.03965,0.23722,0.18321,-0.40404,0.12189,0.43917,-0.44053,-0.13321,-0.01898,0.03406,-0.01146,-0.16412,0.03861,-0.01601,-0.13873,0.03454,0.00679,0.07591,-0.35571,-0.25289,-0.32939,0.01639,0.01380,0.21212,0.03364,0.15417,0.31637,0.25601,-0.04306,-0.05149,0.21896,-0.39080,0.24309,0.01393,0.03026,0.02654,-0.05505,0.01562,0.13277,0.26559,0.01750,0.02515,-0.51870,-0.01969,0.12372,-0.02374,-0.01661,-0.20053,0.38196,-0.19966,-0.06686,0.27113,-0.18881,0.21916,0.14755,0.04415,0.02364,-0.06928,-0.00768,0.25395,0.18649,0.09618,0.06578,-0.08057,0.08538,0.00593,-0.01046,-0.09759,0.03911,0.04036,-0.36688,0.02512,0.01758,-0.05762,-0.07426,-0.22713,0.08285,0.01325,0.16653,0.00695,1.00000,-0.01340,0.07002,-0.26893,0.05073,0.02173,-0.09917,0.03129,-0.07046,-0.01107,0.04165,-0.09115,-0.00643,0.10542,0.26800,-0.02545,0.00105,-0.01611,-0.51922,0.61244,-0.00046,-0.01395,0.10965,0.03911,0.41558,0.03880,0.37706,0.15086,0.06085,-0.00182,0.39297,-0.00814,-0.17734,0.01752,0.36925,-0.17997,0.34723,-0.04535,-0.01432,0.05646,0.39297,0.45689,0.07837,0.02422,-0.27279,-0.19756,-0.24282,0.39080
alpha_144,0.03822,-0.01009,-0.01481,0.02128,0.07774,0.02723,0.05194,0.02457,0.00608,-0.09057,0.02146,0.01187,0.00099,-0.02593,0.00242,0.06237,0.00000,-0.04395,-0.04085,-0.05302,-0.03982,0.04515,-0.05261,0.04398,-0.11663,-0.00854,-0.04402,-0.06628,-0.00620,0.01606,0.06354,-0.00278,0.00925,-0.03307,0.03563,0.00810,-0.06030,-0.00815,0.06128,-0.02389,0.02362,0.02656,0.08469,0.07736,-0.02705,0.08068,-0.08068,-0.08068,-0.17976,-0.01225,-0.01612,-0.05192,0.00103,-0.04076,-0.03359,-0.13962,0.01414,-0.04251,0.05398,-0.06768,-0.02104,0.02729,-0.02997,-0.15488,0.00515,-0.13506,-0.35854,-0.13131,0.10917,-0.00422,0.01542,0.08005,0.05631,-0.00061,-0.04709,-0.12313,0.04062,-0.29015,0.12687,-0.01311,0.07050,0.02051,0.01307,-0.02232,-0.16101,-0.00050,-0.01427,0.00802,-0.03864,-0.10153,0.09060,-0.40338,-0.06224,-0.20371,0.01491,-0.01602,-0.21879,0.02135,0.01987,0.09053,-0.00673,0.07566,-0.07577,0.00049,-0.01292,-0.02842,-0.17117,-0.01040,-0.07647,0.03004,-0.01007,-0.02221,-0.06995,-0.15814,-0.01816,0.03379,-0.00179,-0.18427,0.04349,-0.00237,-0.01434,-0.14231,0.04289,-0.07523,-0.11608,-0.01564,0.01788,-0.41696,-0.10467,-0.06506,0.20926,-0.00423,-0.01568,0.06547,-0.01862,0.00252,-0.01340,1.00000,-0.00870,0.02784,-0.07320,0.02420,-0.37099,-0.11177,0.06354,0.14097,0.00808,0.01390,0.00281,-0.01304,0.06458,0.01378,-0.12665,0.12879,0.04515,-0.02272,-0.00235,-0.05085,0.00345,-0.11608,-0.02426,-0.02382,0.00820,0.00990,-0.09530,0.00633,-0.03477,0.03139,-0.03786,0.11676,0.00306,0.03477,0.04667,0.02407,-0.09192,-0.05087,-0.03477,-0.02053,-0.11994,-0.13747,0.18165,0.00109,0.05934,-0.00802
alpha_145,-0.12304,0.00780,0.07093,0.10601,-0.10483,-0.12652,-0.07386,-0.06408,0.02121,0.00392,0.04239,-0.01514,-0.00744,0.06863,0.02921,-0.08416,0.00000,0.19320,0.18638,0.22714,0.11432,0.07148,0.12472,-0.07586,0.39717,0.17465,0.11768,0.28708,0.01975,-0.07150,-0.27867,-0.19987,0.02938,0.06159,-0.02992,0.16066,0.20728,-0.27898,-0.30449,0.10975,0.05189,0.03362,-0.28818,-0.31336,-0.27372,-0.37477,0.37477,0.37477,0.28697,0.26542,-0.16575,0.10694,-0.17048,0.29982,0.22399,-0.00676,0.09702,-0.17388,-0.06035,0.28486,-0.13424,-0.14121,0.14985,0.25120,0.02852,0.25399,0.22459,0.36390,-0.27864,-0.11042,0.11785,-0.04711,0.01617,-0.17693,0.26630,0.31625,0.10844,0.06083,-0.23991,-0.00807,-0.17986,0.05744,-0.13518,-0.06292,0.32403,0.14466,-0.11522,-0.02117,-0.03705,-0.04232,-0.09090,0.06521,0.35944,0.20198,-0.06372,-0.01751,0.05992,-0.03874,0.20243,-0.14927,-0.02134,-0.06643,0.11119,0.00312,-0.03033,0.49909,0.36851,0.03439,0.37411,-0.03322,0.00828,-0.02612,0.12800,0.30817,-0.05619,-0.16500,-0.20891,0.23255,0.01031,0.00443,-0.06684,0.00438,-0.26804,0.34309,-0.01400,-0.06056,-0.09250,0.00426,0.33944,0.18611,0.00454,0.02886,-0.17936,0.01641,-0.02947,-0.04207,0.07002,-0.00870,1.00000,0.05608,0.09602,-0.21369,0.14539,0.00095,-0.07738,0.00050,-0.07553,0.21827,-0.18276,0.04743,-0.20614,-0.18197,-0.01585,-0.02877,0.13006,0.04505,0.00511,-0.12390,-0.12393,-0.01400,-0.40465,0.07675,-0.02500,-0.01278,0.27831,0.00263,-0.10579,-0.00409,0.10940,-0.07070,-0.04399,0.07082,-0.21995,0.02725,-0.04772,0.05331,-0.10579,0.00717,0.21416,0.00933,-0.00372,0.08229,0.05189,0.02117
alpha_146,-0.02837,-0.09696,0.05420,0.00333,0.00296,-0.04137,-0.10013,-0.04883,0.02788,-0.00325,0.08563,-0.03545,-0.08074,0.06386,0.14092,-0.02618,0.00000,0.17489,0.16137,0.16386,0.01057,0.13183,0.01640,-0.17173,0.02400,0.11078,0.11890,0.19150,-0.00687,-0.00432,-0.16982,-0.02541,0.03318,-0.12234,-0.12138,-0.03648,0.10506,-0.07686,-0.04997,0.08447,0.08186,0.13119,-0.18279,-0.06922,-0.14891,-0.06000,0.06000,0.06000,0.06415,0.07271,-0.17680,0.01060,-0.01269,0.09412,0.04841,-0.00637,0.04809,-0.07354,-0.01151,0.13310,-0.04034,-0.23552,0.25351,0.07101,0.01819,0.00342,0.03784,0.11358,-0.05127,0.04155,0.03464,-0.01826,0.06300,-0.04080,0.13445,0.11058,0.22481,0.00087,-0.04196,-0.01861,-0.04128,-0.01462,-0.13087,-0.07680,0.05180,0.03116,-0.04308,0.18013,-0.04425,-0.00560,-0.03039,0.00468,0.06358,0.02231,-0.06459,-0.01981,0.00923,0.02720,0.26425,0.00464,-0.06292,0.04100,0.01562,0.10412,-0.16708,0.16686,0.10348,-0.14806,0.08551,-0.05074,-0.07502,0.00722,-0.00716,0.09725,0.01170,-0.01708,-0.05634,-0.04104,-0.00110,0.00506,-0.03013,-0.00349,0.02738,0.07198,-0.01449,-0.01103,0.13556,-0.01450,0.02795,0.09767,0.04426,0.12757,-0.02791,0.00279,-0.01263,0.00037,-0.26893,0.02784,0.05608,1.00000,-0.02020,0.01585,0.07354,-0.01469,0.03023,0.00590,-0.02844,0.06646,-0.05432,-0.03558,-0.21644,-0.04893,-0.00425,0.00349,0.14802,-0.18220,-0.00203,-0.02093,-0.00078,-0.01449,-0.29550,-0.01057,-0.03082,-0.05484,-0.02045,0.00032,-0.09912,-0.00116,0.00000,-0.03280,-0.09326,0.07833,-0.13611,0.01196,0.00335,-0.04549,-0.09912,-0.11851,-0.01262,-0.01071,0.22075,0.35613,0.08902,-0.18013
alpha_147,-0.02076,0.00137,0.12254,-0.00414,-0.04854,-0.01288,-0.03386,-0.07645,0.16384,0.21123,0.00619,-0.18961,0.06224,0.09039,-0.01156,-0.05339,-0.00000,0.05591,0.04212,0.08075,0.35247,-0.14298,0.51141,0.08519,0.33712,-0.00603,0.01345,0.13073,0.02111,-0.14859,-0.11725,-0.00342,-0.03127,0.16140,-0.04773,0.14090,0.20157,0.04456,-0.07534,0.00424,-0.08098,-0.07212,-0.18386,-0.19566,0.05949,-0.17469,0.17469,0.17469,0.27946,0.11334,0.01923,0.84644,0.00355,0.10108,0.19233,0.18922,0.04848,0.05012,-0.03309,0.11684,0.00786,-0.01495,0.02548,0.22403,0.42217,0.22565,0.24078,0.34177,-0.23317,-0.01918,-0.00201,-0.14465,0.01583,-0.00493,0.05549,0.20374,-0.02934,-0.00613,-0.23532,0.01708,-0.06040,0.01521,0.03835,0.06520,0.44996,0.27659,0.01426,-0.06017,0.11005,0.18988,-0.04984,0.28327,0.17828,-0.00693,0.08907,0.02472,-0.00768,-0.02609,-0.01564,-0.23086,0.01340,-0.08776,0.86458,-0.02660,-0.00930,0.06784,0.24664,0.01238,0.17107,-0.02978,-0.00114,0.01229,0.92847,0.24969,0.00823,-0.06101,0.01963,0.28346,-0.01520,-0.03243,0.02752,0.23913,-0.13314,0.17445,0.37633,-0.00661,-0.04595,0.29354,0.25293,0.04768,-0.32984,0.00414,-0.03659,-0.04530,0.06287,0.00192,0.05073,-0.07320,0.09602,-0.02020,1.00000,-0.04182,0.30432,0.67715,-0.25815,-0.22199,-0.04445,-0.01215,-0.01919,0.07601,-0.17966,-0.13216,0.43069,-0.50397,-0.07836,0.05155,-0.00148,0.03006,-0.00242,0.37633,0.00118,0.73575,0.02117,0.00441,0.20152,0.00226,0.00673,0.00345,0.04943,-0.55201,-0.00144,-0.01195,-0.05442,-0.00828,0.02672,0.05910,0.00673,0.03348,0.23360,0.52103,-0.27417,-0.01208,-0.06520,0.06017
alpha_148,0.15600,-0.10559,-0.07764,0.11055,0.11981,0.23801,0.03731,0.07382,-0.03076,-0.00706,-0.05528,0.01816,-0.02224,-0.07177,-0.06502,0.12145,-0.00000,-0.16722,-0.17570,-0.19251,-0.10904,-0.09705,-0.10965,0.13819,-0.27567,-0.28290,-0.05935,-0.24662,0.02674,0.05682,0.25560,0.28438,-0.06935,0.07716,0.04097,0.19260,-0.10410,0.28287,0.17700,-0.09000,-0.15981,-0.13662,0.25607,0.24490,0.15881,0.31404,-0.31404,-0.31404,-0.12370,-0.22867,0.00805,-0.06924,0.08009,-0.31957,-0.14446,-0.00553,-0.08793,0.24884,0.10298,-0.28089,0.15832,0.15181,-0.14985,-0.21483,-0.03387,-0.13780,-0.08232,-0.26209,0.16451,0.13409,-0.14127,0.04695,0.04204,0.14166,-0.29811,-0.25539,-0.02727,-0.02141,0.11570,0.06955,0.09636,0.04609,0.20911,0.20048,-0.17088,-0.12758,0.16270,0.00938,0.21576,0.02503,0.04851,-0.03308,-0.29773,-0.04847,0.11762,0.08842,-0.01549,0.19892,-0.09967,0.09887,0.04493,0.07746,-0.07124,-0.12259,0.01962,-0.18623,-0.15473,-0.00890,-0.31267,0.01238,-0.01073,0.09269,-0.08615,-0.14572,0.11085,0.13140,0.25220,-0.08615,0.22091,0.00742,0.17210,-0.01768,0.14243,-0.25634,0.02955,0.07393,-0.02299,-0.01078,-0.17197,-0.09300,-0.04427,-0.02774,0.30583,0.04601,0.09817,0.06058,0.02173,0.02420,-0.21369,0.01585,-0.04182,1.00000,-0.07340,0.01733,-0.07991,0.00962,-0.01219,-0.06683,0.09922,0.06633,0.03764,0.01587,-0.04361,0.01704,-0.23591,-0.03057,-0.00416,0.02492,0.01352,0.02955,0.10892,0.01584,0.21670,-0.01116,-0.13860,-0.00022,0.06400,-0.00660,-0.13865,0.05951,0.00594,-0.11292,0.23192,-0.05869,0.01384,-0.06182,0.06400,-0.04539,-0.06746,-0.01338,0.01244,-0.01269,-0.03649,-0.00938
alpha_150,-0.06458,0.00455,0.20660,0.01974,-0.08953,-0.10730,-0.20465,-0.20538,0.09717,0.23180,0.06632,-0.10579,-0.04728,0.21352,0.06268,-0.09387,-0.00000,0.27916,0.25372,0.29951,0.24492,0.05976,0.30016,-0.15725,0.36312,0.12618,0.24201,0.33039,-0.00985,-0.09041,-0.29648,-0.08104,0.01354,-0.05704,-0.24911,-0.04938,0.25191,-0.10574,-0.13729,0.17969,0.04593,0.05683,-0.31997,-0.19513,-0.11604,-0.18630,0.18630,0.18630,0.31569,0.17845,-0.05659,0.29034,-0.03692,0.15964,0.20109,0.34049,0.06838,-0.05631,-0.05029,0.20307,-0.02589,-0.22858,0.25476,0.22888,0.13483,0.21693,0.84982,0.40152,-0.21764,-0.00277,0.01671,-0.14071,0.03600,-0.04134,0.17457,0.23464,0.17276,0.25501,-0.22692,-0.00146,-0.22632,0.01366,-0.16501,-0.06013,0.40978,0.09504,-0.02060,0.06009,-0.05335,0.36351,-0.24092,0.84286,0.16191,0.22472,-0.12864,-0.00479,0.20374,-0.00982,0.21092,-0.12387,-0.00375,-0.07887,0.36333,0.09011,-0.05656,0.25239,0.29326,-0.00460,0.19487,-0.06247,-0.01884,0.01473,0.32941,0.28324,0.02576,-0.08072,-0.09136,0.30239,-0.05554,0.04424,-0.04154,0.35796,0.12861,0.17868,0.41759,0.00119,0.02049,0.87259,0.17346,0.28233,-0.42646,0.11868,-0.05523,-0.10098,-0.02283,-0.00513,-0.09917,-0.37099,0.14539,0.07354,0.30432,-0.07340,1.00000,0.44550,-0.05309,-0.35257,-0.06553,0.14619,-0.07767,-0.01975,-0.51843,-0.35204,0.46995,-0.49665,0.06204,-0.03872,-0.00450,0.02847,-0.00149,0.41759,-0.24552,0.07227,-0.06674,-0.04473,0.19957,0.00235,-0.02696,0.00065,0.08490,-0.49036,-0.02800,0.02187,-0.21030,-0.00275,0.17189,0.02434,-0.02696,-0.00774,0.20710,0.51844,-0.04945,0.09440,0.04167,-0.06009
alpha_151,0.00812,0.00208,0.17253,-0.01832,-0.02648,-0.01866,-0.03715,-0.12503,0.16398,0.34257,0.00986,-0.18580,0.01155,0.13453,-0.00963,-0.02212,-0.00000,0.07530,0.05978,0.09143,0.26769,-0.10767,0.38236,-0.03236,0.22397,0.00848,0.01509,0.11176,0.00925,-0.16344,-0.09500,0.03503,-0.01517,0.03515,-0.14746,0.00060,0.18128,0.04507,-0.03201,0.00618,-0.04340,-0.05193,-0.13893,-0.14398,0.04370,-0.08639,0.08639,0.08639,0.25465,0.07702,0.01989,0.60945,0.01037,0.06150,0.14311,0.36445,0.03771,0.06755,-0.00992,0.08257,0.04296,-0.03729,0.04923,0.23325,0.35462,0.17302,0.34065,0.24928,-0.20965,0.01001,-0.03950,-0.20912,0.02666,0.00716,0.03831,0.17279,-0.02708,-0.01962,-0.23888,0.01957,-0.03937,-0.01679,0.00257,0.04429,0.34492,-0.11792,0.04000,-0.02493,0.06893,0.55029,-0.05277,0.40584,0.09779,-0.02484,0.05279,0.02655,-0.02257,0.00740,-0.02222,-0.13999,0.01155,-0.05999,0.65545,-0.00753,0.00234,0.02972,0.16327,0.00607,0.08991,-0.03181,-0.03868,0.00784,0.59108,0.17417,0.01456,-0.02917,0.03168,0.27234,-0.02135,0.05695,0.01273,0.39532,0.06316,0.08509,0.64874,0.00547,-0.01181,0.49582,0.14156,0.03506,-0.50651,0.02516,0.03995,-0.04634,0.03337,-0.00091,0.03129,-0.11177,0.00095,-0.01469,0.67715,0.01733,0.44550,1.00000,-0.18319,-0.38495,-0.04667,-0.01839,0.00470,0.00632,-0.25169,-0.20352,0.74428,-0.72538,-0.08158,0.02578,-0.00278,0.05396,0.00474,0.64874,0.02344,0.29513,0.00749,-0.01333,0.12608,-0.00055,0.05816,0.00466,0.01902,-0.55372,-0.00456,-0.01456,-0.04494,-0.02035,0.07006,0.02932,0.05816,0.02084,0.17483,0.75949,-0.29393,-0.01724,-0.05281,0.02493
alpha_152,0.04847,0.00208,-0.02199,0.01990,0.06039,0.01162,0.01596,0.03170,-0.02294,-0.00626,0.00615,0.02978,0.00945,-0.03156,-0.00447,0.07104,0.00000,-0.04264,-0.04072,-0.04844,-0.04959,0.14068,-0.09778,0.00709,-0.19080,0.04405,-0.01711,-0.07374,-0.01663,0.04713,0.07395,-0.12102,0.03853,-0.12589,0.01143,-0.09046,-0.40139,-0.16948,0.07283,-0.01176,0.14616,0.16277,0.17569,0.20029,-0.09308,0.11823,-0.11823,-0.11823,-0.53382,-0.04535,-0.02562,-0.24884,-0.03797,-0.04498,-0.23397,0.00774,-0.13836,-0.28555,0.05512,-0.13011,-0.08702,0.03884,-0.03937,-0.26166,-0.05412,-0.35138,-0.04284,-0.30409,0.26916,-0.02469,0.06691,0.07929,0.05200,-0.00133,-0.04349,-0.27035,0.01824,-0.03736,0.26185,-0.03946,0.20919,0.07378,-0.18242,-0.16746,-0.46877,-0.03243,-0.08518,0.07360,-0.12079,0.04371,0.27793,-0.10034,-0.11575,-0.03755,0.05152,-0.05051,-0.06904,0.02898,0.01486,0.29881,-0.00396,0.11766,-0.24519,0.05077,0.02643,-0.04674,-0.35467,-0.01987,-0.11031,0.09736,0.00931,-0.03156,-0.19576,-0.31096,0.00559,0.06209,-0.12011,-0.52296,-0.00756,0.00501,-0.18066,-0.00341,0.22801,-0.15109,-0.01292,0.00074,0.01944,-0.05914,-0.31038,-0.05605,0.33677,-0.02172,-0.14935,0.06792,-0.08610,0.01625,-0.07046,0.06354,-0.07738,0.03023,-0.25815,-0.07991,-0.05309,-0.18319,1.00000,-0.00122,0.04523,0.10306,-0.05130,-0.03469,0.05004,0.03911,-0.01178,0.03372,0.15226,-0.05052,-0.00317,-0.09472,-0.00907,-0.01292,-0.02052,-0.40786,-0.07453,-0.00018,-0.17991,-0.00656,-0.02678,-0.01193,-0.06086,0.08512,0.01684,0.04652,0.04342,0.03605,-0.00792,-0.04330,-0.02678,-0.03166,-0.30492,-0.05954,0.41986,0.01876,0.12626,-0.07360
alpha_153,-0.00685,-0.00111,-0.07889,-0.00725,-0.01478,-0.00280,0.03868,0.06913,-0.09220,-0.88011,-0.00743,0.08936,0.01235,-0.07314,0.01151,-0.02450,0.00000,-0.02351,-0.01557,-0.02821,-0.12184,0.02479,-0.15937,0.03689,-0.05734,0.00972,0.01468,-0.02971,-0.00302,-0.03814,0.02060,-0.01364,-0.00366,-0.00599,0.17745,0.02491,-0.03653,-0.00684,-0.01362,0.01527,0.00263,0.01704,0.02733,-0.00713,-0.00891,0.00972,-0.00972,-0.00972,-0.04080,-0.02529,-0.01085,-0.10844,-0.00671,0.00510,-0.03720,-0.99871,-0.00978,0.00312,-0.01405,0.00094,-0.00451,0.00735,-0.01361,-0.03206,-0.16490,-0.04414,-0.29191,-0.05582,0.00027,0.00336,0.01002,-0.04067,0.00466,-0.00131,-0.00292,-0.01406,0.01661,0.17237,0.00737,-0.00427,-0.02923,0.00142,0.09942,-0.00652,-0.07479,0.02763,-0.00691,0.00858,0.00439,-0.79216,-0.03399,-0.31442,0.00017,0.13853,0.22732,-0.00793,0.14489,0.01001,0.00281,0.01623,-0.00267,-0.02269,-0.22370,-0.00317,-0.00146,0.00061,-0.04344,0.00038,-0.00194,-0.00333,-0.07416,0.00701,-0.21328,-0.07577,-0.00274,-0.00342,-0.00370,-0.02816,0.01235,-0.01986,0.00494,-0.99911,-0.10911,-0.00046,-0.76624,-0.00141,-0.00187,-0.39730,-0.01365,0.01656,0.13062,0.00554,0.00781,-0.02661,-0.00859,0.00129,-0.01107,0.14097,0.00050,0.00590,-0.22199,0.00962,-0.35257,-0.38495,-0.00122,1.00000,0.05653,0.00603,0.00929,0.00005,0.14583,0.13521,-0.74996,0.79734,0.02023,-0.00958,0.00856,0.00443,-0.00211,-0.76624,-0.01055,-0.04966,-0.00394,0.03405,-0.01755,-0.00311,-0.03943,-0.01730,-0.00255,0.52842,-0.00243,0.00103,-0.00226,-0.00086,-0.09508,-0.01125,-0.03943,-0.00549,-0.02466,-0.77165,0.00081,0.00842,-0.01570,-0.00858
alpha_154,0.06980,-0.01127,-0.04559,0.06778,0.06437,0.09665,0.01899,0.04400,-0.01441,-0.02070,-0.03559,0.00584,0.04196,-0.04437,-0.01646,0.05091,0.00000,-0.10126,-0.10418,-0.10597,-0.04597,-0.04489,-0.05509,0.08953,-0.11829,-0.13061,-0.02172,-0.12030,0.01582,0.04263,0.12164,0.05436,-0.03441,0.02547,0.02506,0.08228,-0.14070,0.06389,0.06216,-0.03125,-0.03783,-0.03244,0.13043,0.15572,0.06038,0.14615,-0.14615,-0.14615,-0.15902,-0.14528,0.03687,-0.04806,0.10109,-0.15425,-0.15516,-0.05393,-0.02528,-0.00289,0.07372,-0.15202,0.05939,0.09670,-0.09832,-0.07217,-0.01717,-0.18859,-0.07540,-0.13582,0.15358,0.04000,0.00581,0.05560,-0.04902,0.07113,-0.13738,-0.13554,-0.03426,0.06186,0.14774,0.04441,0.03414,0.07200,0.07627,0.04799,-0.12352,-0.03941,0.04230,-0.04675,0.03133,-0.03653,0.03982,-0.06953,-0.14889,0.03313,0.10965,0.04762,0.03241,0.02252,-0.01316,0.12814,0.01935,0.04377,-0.05901,-0.03430,0.04864,-0.05895,-0.14910,0.01754,-0.15705,0.03501,-0.00241,0.02956,-0.05417,-0.12732,0.04027,0.09912,0.10383,-0.09431,-0.02716,-0.00244,0.08241,-0.05491,-0.00344,-0.15710,-0.03978,0.07364,-0.08006,-0.05925,-0.14230,-0.02131,0.09600,-0.03048,0.05142,0.00805,0.02724,0.02095,0.04165,0.00808,-0.07553,-0.02844,-0.04445,-0.01219,-0.06553,-0.04667,0.04523,0.05653,1.00000,0.01850,0.00434,0.01225,0.11320,0.17861,-0.04159,0.06119,-0.09861,0.03457,-0.00486,0.02375,0.00466,-0.03978,0.04583,-0.03267,0.09407,0.01675,-0.06142,-0.00084,0.03844,-0.02704,-0.07361,0.06891,0.04412,-0.04448,0.11506,0.04724,-0.07076,0.02878,0.03844,0.02926,-0.06428,-0.06648,0.03625,-0.01300,0.01725,0.04675
